movie_code,review
m/10006780-lost_horizon," The material is so slight it can hardly bear the weight of music, and it sinks altogether during a series of the most incompetent and clumsy dance numbers I've ever seen."
m/10006848-the_motel, Indie coming-of-age dramedy about a precocious Chinese-American youth whose family operates a sleazy roadside motel signals arrival of a singularly promising filmmaker.
m/10006849-once_in_a_lifetime," ...a stylish scramble of evocative footage, groovy music, and crazy-candid reminiscences from key players still proud to score."
m/10006856-requiem," Requiem isn't a horror movie so much as a thwarted coming-of-age story, like Carrie without the bloody reckoning."
m/10007139-park," It's a hilarious, crowd-pleasing film about everything from honesty to sex to freedom that's definitely smart without being too overbearing."
m/10007333-bon_cop_bad_cop," Accessible and entertaining, with enough local flavor to seem exotic to English viewers. Not only that, but it's FUN."
m/10007415-amazing_grace," This compelling bio-pic is an overdue tribute to William Wilberforce (1759-1833), the British abolitionist who, for 20 years, tirelessly lobbied Parliament to end England's participation in the slave trade."
m/10007598-cocaine_cowboys, Informative documentary filmmaking that belongs as much on library shelves and agency case files as in your local theatre.
m/10007614-gone, First-time director Ringan Ledwidge conjures up an effectively creepy mood to accompany three young backpackers on an ill-fated road trip across the Aussie desert.
m/10007714-situation," The situation in The Situation is grimly photogenic, yet persistently opaque."
m/10007821-snow_blind," It's understandable that Scott wants to highlight snowboarding's diversity, but perhaps a winter-sports documentary shouldn't try to cover the waterfront."
m/10007856-four_sheets_to_the_wind," Harjo's likable Native American fable is very much in the tradition of Smoke Signals, except that the equally sentimental narrative centers on a siblings relationsip rather than father-son medlodrama."
m/10007886-the_tigers_tail," An almost madcap comic pace battles with thundercloud-building drama . . . The social commentary can be earnest and bald, with the mythic overtones seemingly contrived to tumble O'Leary into the class gap on his arse."
m/10007893-its_a_boy_girl_thing, There's little doubt that Boy Girl Thing was assembled by someone who was obviously blindfolded and possibly drugged.
m/10007898-slipstream, A visual masterpiece and an amazing achievement in cinematography and editing.
m/10007902-delirious," A joyously raucous, sexy, deliciously biting fable...Delirious is superbly entertaining and completely satisfying"
m/10007916_interview, Steve Buscemi's adaptation preserves the original's biting basic scenario while adding a few Americanizing tweaks to this tale.
m/1000792-american_anthem, It's another example of how our most popular art form has been taken possession by what appear to be extraterrestrial moviemakers from the planet Stallone.
m/10007947-ten," Hilarious stuff, though many of the segments go on too long, so that the gags tend to wear out their welcome."
m/10007985-happening," For all his complaints recently about being misunderstood, it seems it's Shyamalan who simply doesn't get us."
m/10008005-moliere, Two scripters let their imaginations soar to show us how Moliere would act if he became a character of one of his plays and met people from his other productions--and it works!
m/10008126-straightheads," The film is a shallow study of the ~intoxicating allure of violence', with a few gratuitous tit shots thrown in for good measure."
m/10008140-borderland," An unnerving, ruthless, borderline-mesmerizing thriller."
m/10008200-spiral," Spiral is an interesting experiment in the evocation of things that do not actually exist, and it succeeds with sizzle."
m/10008234-alexandra," An arty, cerebral film, Alexandra nevertheless speaks to the heart like a symphony."
m/10008390_blood_and_tears," 'A small house can accommodate hundreds of friends, but can't accommodate two enemies,' the doctor says ruefully, quoting an Arab proverb. Sadly, Blood and Tears is the proof."
m/10008423-cool_school," Largely avoids sharply delineated portraits, with its focus on the scene at the expense of individuals, ultimately resulting in a documentary that doesn't rise above the functional."
m/10008496-pathology," Not exactly a great movie, but it's sick, slick, and strange enough to warrant a 90-minute look."
m/10008502-christmas_carol," Shortchanging traditional animation by literalizing it while robbing actors of their full range of facial expressiveness, the performance-capture technique favored by director Robert Zemeckis looks more than ever like the emperor's new clothes."
m/10008507-deep_water," Stories celebrating heroic journeys are commonplace, but this is a sobering, anti-heroic tale of an ordinary man who set out to attempt the extraordinary... and failed through a cruel combination of bad luck and bad judgement."
m/10008587-beverly_hills_chihuahua," While it doesn't work particularly well on any of those levels, it is a colourful addition to the always popular talking dog genre."
m/10008601-fireflies_in_the_garden," The cast are uniformly good; it's all competent, but its somehow not completely satisfactory."
m/10008606-eye," Quite faithful until the dumbed-down Americanized ending, yet time and again the treatment is inferior."
m/10008607-day_of_the_dead," Nowhere near the worst zombie movie I've ever seen, but it will follow in the slew of truly atrocious remakes undeserving of their titles..."
m/10008611-my_best_friends_girl," It's disturbing to think of the millions of teenage boys who will laugh when he insults a girl to get her in bed, or pees in a cactus plant at a restaurant."
m/10008613-burrowers," Beautifully shot and tightly scripted, it's the rare Hollywood genre film that's more concerned with human relationships and behavior than the mysterious supernatural forces that sets the action in motion."
m/10008617-midnight_meat_train," MEAT TRAIN is the first BOOK OF BLOOD to depart from the station in a long time and it's refreshing to see that the film carries that bleak, yet romantic touch of Clive Barker all over it... it's guaranteed to make you squirm, scream and beg for more!"
m/10008618-return," It's hard to find the genuine heartfelt moments in The Lucky Ones, a story about three Iraq War soldiers on a brief road trip back in the U.S., under the clutter of narrative contrivances and coincidences."
m/10008621-run_fat_boy_run," Enjoyable, sharply written and frequently hilarious comedy with strong comic performances from its cast. This should strike a chord with slightly overweight men everywhere."
m/10008652-closing_escrow," While far from the cream of the mockumentary crop, it's still a pleasant diversion."
m/10008655-whiteout," It's a wonder Whiteout isn't in 3D, what with its initial onslaught of in-your-face flying propellers, crashing planes, and a lingering close-up of Kate Beckinsale stripping to her skivvies."
m/10008661-randy_and_the_mob," It's just that the comedy and the drama never quite crystalize into anything remotely affecting, with the end result feeling more like some extended Southern in-joke than an honest movie."
m/10008667-black_irish, It'll be worth watching to see if [director Brad Gann] plays to his strengths on future projects.
m/10008678-wild_child," Despite a shaky start, Wild Child is actually a surprisingly entertaining teen flick, thanks to likeable performances and a script that highlights the importance of friendship. Worth seeing."
m/10008687-powder_blue, A movie full of egregiously overdramatic stupidities.
m/10008698-king_corn," Sometimes obvious, but at other times quite startling."
m/10008699-terrors_advocate," About halfway through ... the movie's two-hour-+ running time begins to drag, as Shroeder's narrative seems more and more a catalog of events."
m/10008700-darfur_now," Despite honorable intent, docu is too ambitious for its own good, too burdened with celebs, and not insightful enough about its signficant issues."
m/10008703-rails_and_ties," The opening act is strong, but the story's trajectory is so obvious this often seems to be traveling along tracks as well -- into a valley of soap suds."
m/10008705-mr_untouchable, It gives the self-aggrandizing Barnes just enough celluloid to hang himself.
m/10008706-house, The film doesn't achieve the horror or creep factor it could have%u2014or that the trailer seems to promise%u2014mainly because of strange stylistic choices.
m/10008744-canvas," Canvas is a movie that rings emotionally true, despite structural contrivances and dim, washed-out color."
m/10008747-skid_row," ...Skid Row too often comes to feel like a vanity project, with the focus of the film frequently shifting away from Skid Row's history and people to Pras's sketchy immersion in homelessness..."
m/10008748-saawariya," Ranbir Raj is a charming presence with moves that suggest a cross between Justin Timberlake and Gene Kelly, but the screen really comes to life when it's full of dancers."
m/10008754-flawless," As far as what the filmmakers constructed, the spirit of the title term is close enough to forgive blemishes that don't really spoil the fun."
m/10008760-what_happens_in_vegas," The film delivers what it promises as a freewheeling, bitchy-mouthed romantic comedy, so it's a good date movie. Perhaps newlyweds, too"
m/10008785-appaloosa, Bring back Hopalong Cassidy and Randolph Scott and you've got the making of a respectable horse opera.
m/10008786-good," Despite Mortensen's heroic effort, Good is simply not good, a failed version of a stylized, powerful play of ideas about the devastating price of conformity."
m/10008820-visitor, Much more interested in its interpersonal relationships than it is in climbing a soapbox and preaching to the choir.
m/10008830-bill, ...basically entertaining yet entirely forgettable.
m/10008849-married_life, You know you're in trouble if the wallpaper is more exciting than anything that happens in front of it.
m/10008856-badland, Badland takes a step in the right direction by attempting to understand the aftermath of war.
m/10008924-oxford_murders," Not so terrible that you can understand why it's been practically buried by its distributors, but you can get better ridiculous whodunits on TV."
m/10008954-untraceable, Untraceable is a satisfying slice of solidly crafted meat-and-potatoes filmmaking.
m/10008991-informers," The Informers is the kind of movie that, upon leaving the theater, provokes the urge to take a shower."
m/10008992-meeting_resistance," Of all the Iraq documentaries that have been released since the war began five years ago, this is the one that most seriously addresses the nature of the insurgency."
m/10009001-the_freshman," With Brando around, The Freshman has a snappy madness that's hard to resist."
m/10009005-a_bloody_aria," It would have been fine but the acting is pretty over the top, making scenes almost laughable."
m/10009029-kenny," The result is a minor masterpiece of tone in Kenny's portrayal of a character that is absurd, guileless and shrewd at the same time."
m/10009055-rocker," It's modestly entertaining, occasionally funny, and generally agreeable. I just don't think Wilson should quit his day job yet."
m/10009063-perfect_holiday," Spicing up Christmas with some savvy soul, are tough love story tour guide Queen Latifah, Terrence Howard as her sidekick mute meanie, and devilish duo Katt Williams and Charlie Murphy's J-Jizzy, doing musical bad boys with deliciously nasty glee."
m/10009066-la_graine_et_le_mulet," Thriambos toy sfihtoy senarioy me stoho kai apopsi kai tis aplis kinimatografisis me emfasi stin oysia tis, to La Graine et le Mulet einai eykola ap' tis kalyteres tainies tis hronias. To mono hreiazetai, einai to tharros na mpeis stin aithoysa, ki as' to"
m/10009083-land_of_the_lost," The movie's abbreviated title is LOL, which is ironic since Ferrell offers hardly a smile, much less laughter out loud."
m/10009132-rec, ...this experience feels like being trapped in a haunted maze and there are images here that are the stuff of nightmares.
m/10009138-look," The thread binding these unrelated folks is a common disconnect between public facades and private conduct, though the notion that people aren't always who they appear to be is hardly some sort of revelation about society or human behavior."
m/10009151-box," A logically impaired, hyperbolic mess that darts from one high-concept idea to another as flowingly, and painfully, as someone with a bladder infection."
m/10009169-man_in_the_chair, A neorealist drama passed through a J-Horror filter.
m/10009172-undoing," A smidgen of originality lies in its being a noir film with Korean characters: others nothing new, but still a watchable gangster pic."
m/10009176-black_water," Black Water may be derivative, but it ain't no crock"
m/10009192-21, Manages to make the act of counting cards seem as exciting as this past winter's Super Bowl -- and as perilous as climbing Mount Everest with both eyes closed.
m/10009210-duchess_of_langeais," Patience, waiting, frustration, bad timing, lost opportunities - it takes a certain directorial boldness to highlight these as the principal themes of what is essentially a claustrophobic two-hander whose duration extends to nearly two and a half hours."
m/10009212-ben_x, [Director Nic] Balthazar's determination to draw a positive message from a negative situation doesn't quite fit.
m/10009225-body_of_lies, DiCaprio works hard while Crowe does chores at home and eats.
m/10009239-passengers," With a storytelling sensibility more common in foreign films than mainstream ones, Passengers is a compact, thought-provoking tale that challenges the viewer while shedding light on one's own life, and how he or she has chosen to lead it."
m/10009244-the_grand," Put Herzog at the same table as Hines, Harrelson, Parnell, Cross, and Farina, and poker on film starts to look a lot less dull. Imagine what they could do with Monopoly."
m/10009253-the_hammer," A nearly comatose comedy that spends its time just bum-stumbling along, never putting in the work necessary to land a solid joke or develop a winning character."
m/10009254-shutter," 'Shutter' is a movie that's a few years behind its time, maybe even a few decades."
m/10009274-priest," Paul Bettany in a cassock with a cross biroed on to his forehead, potholing with vampires. In 3D."
m/10009323-broken," Fleeting pleasures are undermined by an inane, directionless narrative, barely-even-one-dimensional characters and an overall sense of superficiality."
m/10009334-the_escapist, Those looking for an innovative new take on the prison genre should be pleased with the latest from this talented filmmaker.
m/10009355-sugar," Sympathetic, genial and exceedingly wholesome, it's a film that, once seen, will permanently and favorably influence the way viewers regard the characters' real-life counterparts."
m/10009420-quid_pro_quo," An exceedingly odd meeting of the minds (and bodies) occurs in Quid Pro Quo, a strikingly original and provocative first feature from scribe-helmer Carlos Brooks."
m/10009421-red, The idea that a man would go so far over the death of a dog is a little hard to buy into.
m/10009426-guitar," Without its weirdo visual flourishes, The Guitar would be completely reprehensible."
m/10009460-the_road," The two principals are superb, and the direction is resonant in its very restraint."
m/10009462-g_force," Galifianakis's comedy thrives on risk. In G-Force, he does the most subversive thing possible in a big budget PG picture: he plays it straight."
m/10009469-the_other_man, Seldom has such great star power been marshaled in the service of a sillier movie than The Other Man.
m/10009493-duchess," For all its luscious period trappings and Keira Knightley's spirited take on the title role, Saul Dibb's handsome biopic reveals little about how Georgiana Spencer Cavendish became one of 18th-century London's most celebrated and influential aristocrats."
m/10009516-women," The original version of The Women, shrill and campy as it can be, is miles ahead of this remake when it comes to issues of class and social maneuvering."
m/10009526-public_enemies," ... a solid, smart adult entry into the summer sweepstakes this year, and a nice moment for Mann, even if it doesn't particularly break new ground."
m/10009552-julia," Tilda Swinton gives a committed and courageously unsympathetic performance as the self-serving Julia, but this is a character with whom you would rather spend as little time as possible - and certainly not the endurance-testing running time."
m/1000957-angel_and_the_badman, One of Wayne's top B efforts; an offbeat love story that works as a romance as well as a Western. Russell is luminous.
m/10009583-fade_to_black," A retro pastiche that, like The Good German before it, will be of limited interest to all but the most ardent film buff."
m/1000959-angel_heart, Seriously creepy bayou noir with more twists than you can shake a chicken bone at.
m/10009596-old_dogs, So wretched that it should be unceremoniously put down.
m/10009598-surrogates," High concept and high budget, Surrogates adds astounding techno magic to ideas mooted in films like Multiplicity, Total Recall and I Robot, but fails to achieve the humanity the film champions"
m/10009624-promotion," I predict that when this film is released, lots of critics who miss the point will complain about its muted tone. Scott and Reilly actually underplay the comedy to great effect."
m/10009632-notorious, A sanitized treatment that embraces every cliche of musical biography without shedding much real light on its subject.
m/10009635-soul_men, Bernie Mac's last film before his untimely death is a let-it-rip irreverent comedy invested with Bernie's trademark brand of earthy humor.
m/10009636-igor, There's enough good stuff here that a better 'toon could have been stitched together from the many promising funny parts.
m/10009680-matador," . For all of its inherent gore and breathtaking surprises, ""The Matador"" is an essential window on the personality of an athlete working in an incredibly dangerous sport."
m/10009791-auteur," There's no Hitchcock in The Auteur, which is surprising considering the second syllable of the Master of Suspense's surname."
m/10009799-caller, Close but no cigar as a great international corporate mystery thriller slows to a crawl in a drawn out study of death. Frank Langella and Elliott Gould should have been used better.
m/10009823-sin_nombre," ""Sin Nombre"" is a convincing verite-styled drama that pulls you into its dangerous universe of desperation and immediacy."
m/10009828-house_of_sleeping_beauties," Sure, there's copious full-frontal female nudity and an aroused male body part, but such scenes are a means to an end, not an end in themselves. There's a subtle difference, but still a difference."
m/10009926-alvin_and_the_chipmunks_2," The world's most irritatingly high-pitched rodents are back and noisier than ever, in this lobotomised rip-off of the High School Musical franchise."
m/10009929-a_christmas_tale," A marvelously rich visual, intellectual and emotional experience, one that I expect will grow deeper with repeat viewings."
m/10009980-rebound," It's laboured and clunky, or crude and vulgar, when it should be funny and zippy"
m/10009992-ripple_effect," Nothing more than an elongated soap opera, sans the self-awareness."
m/1000_times_good_night," The film survives mostly off the wonderful, absorbing leading performance by Binoche, in what a truly layered character to get your head around."
m/10010011-harold, The presence of Cuba Gooding Jr. in this odd little indie comedy should set off early alarm bells.
m/10010066-push, One of the better recent attempts at cashing in on the superhero film craze without having an actual comic book to adapt.
m/10010077-felon," Kilmer and Dorff, who was also an executive producer, immerse themselves in difficult roles and the film's overall air of social commitment will surprise viewers drawn in by its exploitation-movie promotion."
m/10010131-scar," Run of the mill, largely predictable slasher movie that unfortunately squanders the 3D gimmick that could have made it interesting."
m/10010150-unborn," Exactly what you'd expect from the combination of its release date, genre, and MPAA rating"
m/10010153-bitch_slap," In any other world, this would be getting a DVD or Syfy-only release, and Jacobson's talents would be better utilized directing Playboy Channel interstitials."
m/10010155-forever_strong," Adhering to the belief that action scenes are more thrilling when you can't tell what the hell is going on, the director gives us just the ""highlights."""
m/10010208-chocolate, JeeJa Yanin is a sensational discovery but this mixed assortment of high kicks and even higher melodrama may be an imperfect vehicle for her.
m/10010214-fireproof," After a shaky start and a steady middle, the film ends on a genuinely moving note; the folks at Sherwood Baptist Church have made their most impressive movie yet."
m/10010229-dostana," This is a great, fun entertainer with lots of charm and great music."
m/10010249-the_garden," A beautiful portrait of a unique downtown LA community of poor Mexican-Americans who've turned urban blight into a marvelous garden and fight a developer determined to shut them down. A moving, inspiring documentary."
m/10010329-splinter," The creature feature is loaded with blood, guts, gore, the perfect anti-hero and a hilariously fun plot, which is played straight until the very end...Wilkins delivers a simple, yet effective '80s creature feature that's not only scary, but also a great t"
m/10010334-leaves_of_grass," Playing identical twin brothers who have landed on very different ends of the personality spectrum, Norton gives two bravura comic performances, shoulder-to-shoulder..."
m/10010335-rab_ne_bana_di_jodi," Smart, colorful and well-acted Bollywood romantic comedy succumbs to sentimental wish-fulfillment toward the end, but could still teach Hollywood rom-coms a thing or two."
m/10010458-proposal, Diverting romantic antic about a sham engagement is sparked by the bright chemistry and comic timing of Sandra Bullock and Ryan Reynolds.
m/10010552-gigantic," The various twilight performances of the veteran players deserve a look, as do the always interesting appearances of Mr. Dano and Ms. Deschanel. Only the sparks are missing this time."
m/10010568-fuel," While Fuel takes persuasive swipes at the influence of oil-based energy companies over domestic and foreign policy, the film is more dazzling as an introduction to all kinds of clean energy alternatives many of us have never heard of."
m/10010571-hush," Hush proves you don't need a Jason, Freddy or Michael to create a nasty little horror showcase."
m/1001063-anna_karenina," If you still doubt either Hollywood's ability to deal with a masterpiece or Greta Garbo's greatness as an artist, this is the picture to see."
m/10010658-orphan," Teasingly enjoyable rubbish through the first hour, Orphan becomes genuine trash during its protracted second half."
m/10010662-my_sisters_keeper," My Sister's Keeper is a shameless weepy, one of the most manipulative and fundamental of genres, but it also raises some surprisingly difficult and thought-provoking ethical questions."
m/10010667-hangover, I loved Fat Jesus. A comedy that's funny and naughty. This is a franchise. Mike Tyson has a career in movies!
m/10010668-stepfather, [Nelson] McCormick has crafted a horror remake so undistinguished it makes Prom Night look like a masterpiece of transgressive filmmaking.
m/10010675-departures, A fine film that's gently funny and moving and not the least bit challenging or controversial.
m/10010680-boogie," Naturalistic performances, long takes, unfussy edits and a story that unfolds over a few hours are all present and correct."
m/10010692-ballerina, Ballet lovers will enjoy the footage of the young ballerinas taking command of their respective performances.
m/10010694-season_of_the_witch, It's not quite nutty enough to be a guilty pleasure.
m/10010703-shuttle, A decently twisty indie thriller about hostages lured aboard an airport minivan whose destination is nowhere pleasant.
m/10010760-miss_march," The best mainstream comedy so far this year. Every time you start thinking how you've seen it all before, you find yourself laughing too hard to care."
m/10010782-american_affair," A dash of Ingmar Bergman and Oliver Stone in this Capitol Hill noir, as kinky DC sexual politics collide with flaky JFK conspiracy theories, and Bay of Pigs CIA boozer masterminds wonder if communists are having more fun."
m/10010785-grace," Deeply unsettling stuff ... [but] sharp, witty and ambitiously artful too, like some lost gem from the highbrow spectrum of '70s exploitation cinema"
m/10010787-endgame, There's nothing in Endgame that's less than proficient.
m/10010789-red_baron," A very low-flying, sentimentalised account of the life of legendary first world war German air ace, Manfred Von Richthofen."
m/10010919-objective," Although the film has an undeniably strong, suspenseful tone -- not to mention symbolic resonance -- it doesn't rise above its overly familiar setup."
m/10010940-happy_tears," In this year's crop of Oscar-nominated shorts, the animated category beats the live-action offerings."
m/10010944-missing_person," Not the most riveting of noir dramas, this film exists mainly to project the talents of Michael Shannon in the role of a drunk private eye."
m/10010957-polanski_unauthorized," To describe the film as this generation's ""Wired"" hardly begins to scratch the surface. This is a movie so bad that the people who actually made ""Wired"" can actually look down upon it without coming across as hypocritical."
m/10010972-mammoth, Comes with too much repetitive exposition and lacks an emotional payoff.
m/10011003-crude, It's impossible to watch this film and not come away with a personal vow never to patronize the Chevron corporation again.
m/10011016-messenger," Although Hollywood has dealt with the war from various perspectives, Moverman's film offers a new angle that brings the horrors home about the decision to go to war."
m/10011050-lake_mungo," Genuinely compelling, this mock documentary from first time feature director Joel Anderson builds on its wonderfully eerie mood to deliver an enigmatic ghost story, family drama and story about a teenage girl with secrets."
m/10011079-country_teacher," This sweetly ingenuous film, written and directed by Bohdan Slma, is a lot less sentimental about cows and flowers than it is about its human protagonists, who fall domino-like in love with churls who won't love them back."
m/1001115-apartment, The Apartment is the kind of unsuccessful picture that nevertheless demonstrates that everyone involved is capable of better work.
m/10011154-golden_boys, This musty yarn would have worked better as a 1940s MGM programmer.
m/10011235-fame," ""Fame"" is content to simply repeat the key moments from the first film without any of the grit or energy that was on display the first time around."
m/10011262-outrage, One can at least partly embrace the concept that outing pols who torpedo gay rights is defensible and still find Dick's film too frequently a would-be sensationalistic bit of tut-tutting for queer Dems and their politically-connected friends.
m/10011284-skin," Laing's troubled history is full of heart-wrenching tragedy and, for most of its running time, Skin is very effective. The trouble is, it feels quite small, more like a Movie of the Week than a fully fledged feature."
m/10011303-helen," You couldn't call this audacious British debut a success; it's too arch, awkward and over-extended for that. But, oddly, it's those very same qualities which make it arresting to watch and which mark out its two directors as talents to keep an eye on."
m/10011304-thirst," Although the focus of its narrative movement is not always clear, in its best moments, Thirst offers something of the poetic force of cinema's timeless masterpieces."
m/10011335-vengeance," If indeed there is anything surprising about this clich-packed genre fare, it's the degree to which To and his screenwriter Wai Ka-Fai are prepared to indulge their flair for the ludicrous."
m/10011379-new_world_order," New World Order essentially offers nothing 'new' on the topic, nor displays any concrete 'order' in structuring its haphazard collage of hit and run gotcha moments."
m/1001138-april_fools_day," There are much better 80's horror flicks to spend your money on, but April Fool's Day has enough jolts and twists to warrant a look."
m/10011388-blood_the_last_vampire," If you go in expecting an amusing stinker, you may enjoy it."
m/10011435-shrink, Hollywood movies don't get much more self-regarding than this.
m/10011457-ong_bak_2_2009, ...a self-aggrandizing historical epic that somehow proves that you can actually make a movie without a plot.
m/10011489-bananas, Fredrik Gertien's documentary about the alleged perils of being a Nicaraguan banana worker has landed the director in serious trouble with the Dole Food Company.
m/10011494-last_ride," Though the script doesn't always reach its potential, visually this is a stunning film that challenges its audience."
m/10011582-TRON_legacy," Whereas 3D has quickly become a dirty, corporate word, Tron: Legacy's use of the new technology to bring the audience directly into this very specific and unique world makes this movie a completely immersive experience."
m/10011647-canyon, Competent execution and respectable performances still can't save this threadbare attempt at a minimalistic Deliverance.
m/10011699-leslie_my_name_is_evil," Harkema's real problem is that he doesn't know which story he wants to tell, apart from taking potshots at governments, religions and ideologies he opposes."
